Date/Time,Latitude (degree),Longitude (degree),Optical depth liquid (1),Error optical depth liquid (1),Optical depth ice (1), Error optical depth ice (1),Effective droplet radius liquid (um),Error effective droplet radius liquid (um),Effective droplet radius ice (um),Error effective droplet radius (um),Liquid water path (g m^(-2)),Error liquid water path (g m^(-2)),Ice water path (g m^(-2)),Error ice water path (g m^(-2)),Total water path (g m^(-2)),Error total water path (g m^(-2)),Averaging Kernel matrix [11],Averaging Kernel matrix [12],Averaging Kernel matrix [13],Averaging Kernel matrix [14],Averaging Kernel matrix [21],Averaging Kernel matrix [22],Averaging Kernel matrix [23],Averaging Kernel matrix [24],Averaging Kernel matrix[31],Averaging Kernel matrix [32],Averaging Kernel matrix [33],Averaging Kernel matrix [34],Averaging Kernel matrix [41],Averaging Kernel matrix [42],Averaging Kernel matrix [43],Averaging Kernel matrix [44]
2017-06-11T13:12:00,81.832642,11.162233,1.23274358,0.06614862,2.11907741,0.08756097,7.73670371,0.52270595,30.1592332,0.52150455,6.35824788,0.77075647,39.48925224,5.69859937,45.84750012,6.46935584,0.9998781,0.0001597267,-0.00032646,-4.57871e-06,0.0001597267,0.9997864,0.0004490906,3.117493e-06,-0.0009068332,0.001247474,0.9972594,-6.474591e-07,-0.0002034982,0.0001385553,-1.035935e-05,0.99983
2017-06-11T13:14:00,81.832575,11.162837,1.71678283,0.13113524,3.68753228,0.13040703,8.04117653,0.69929435,18.97531225,0.46403796,9.20330253,1.50334545,44.70195455,7.17144241,53.905257080000005,8.67478786,0.3407497,-0.3943413,-0.2986721,0.009484974,0.4509475,1.182459,0.3064338,-0.01932079,0.1515824,0.2814264,-0.04108175,0.3244224,0.412239,0.4139507,0.03479232,0.6631095
2017-06-11T13:16:00,81.832474,11.163771,1.09197232,0.11458081,1.91877006,0.12224605,10.05096029,0.62374635,26.21549633,0.55770476,7.31691365,1.22184062,31.26602422,5.68772993,38.582937869999995,6.90957055,0.9487105,-0.02890318,-0.08346923,-0.09562735,0.04744132,1.027774,0.08332638,0.09379489,-0.05103362,0.2614257,0.7686883,-0.2657774,-0.04061861,0.2950781,-0.3644731,0.09309727
2017-06-11T13:17:00,81.832422,11.16431,0.0,5.93e-06,4.56245681,0.33920831,7.0,0.0,26.38713129,0.48117424,0.0,2.766e-05,74.85598916,13.05819906,74.85598916,13.05822672,1.0,5.603412e-08,0.0,1.294407e-09,5.541369e-08,0.9967933,0.0,-7.480191e-05,0.0,0.0,0.0,0.0,5.628681e-08,-0.003324529,0.0,0.999855
2017-06-11T13:18:00,81.832381,11.16474,0.71200531,0.06718652,2.14774378,0.06607802,12.42536504,0.70156379,30.49644885,0.52065954,5.8979506,0.88955611,40.59344091,5.28218015,46.49139151,6.17173626,0.5570701,-0.118404,-0.09515559,-0.01762666,0.3859689,1.030519,0.1010142,0.01021817,0.1065936,0.4493167,-0.03082408,0.3800026,-0.8240535,0.0967538,-0.1596733,0.05839508
2017-06-11T13:20:00,81.832309,11.165375,0.51866622,0.03824079,3.1495131,0.04603192,6.84652359,0.7019915,32.9001562,0.63449901,2.3673737,0.41727716,64.44623443,7.24575128,66.81360813,7.663028440000001,0.8680859,-0.01066565,-0.02146503,-0.02892321,0.1550311,0.9696807,0.0448454,0.02295736,0.219588,0.1004382,0.05441112,-0.1888449,-0.4137725,-0.1582814,0.1320346,0.1913793
2017-06-11T13:55:00,81.830807,11.180307,0.41880283,0.02526317,0.36316272,0.02842527,10.83635419,0.52074996,21.24729679,0.43631097,3.0255305,0.32790148,4.87625722,0.88741289,7.90178772,1.21531437,0.6711281,0.0005957808,-0.03301719,0.0270053,0.3531528,0.9877226,0.03978827,-0.03516546,-0.7711159,-0.02134267,0.083566,0.8701774,-0.1052621,-0.4779247,0.8921272,0.2201433
2017-06-11T13:56:00,81.830755,11.18084,0.39450202,0.02551287,0.8525834,0.02709114,8.80108385,0.36425995,20.30011962,0.35221137,2.31469689,0.24549482,10.9568539,1.38629132,13.271550790000001,1.63178614,0.8568931,0.02579685,0.004075219,0.02463053,0.1574445,0.9723388,0.005255321,-0.03477556,0.07766816,-0.2912246,0.4306871,0.7466118,0.336268,0.3647254,0.8693925,0.7203714
2017-06-11T13:58:00,81.830669,11.181731,0.373637,0.01569694,0.74257467,0.01587219,7.59717103,0.22953677,20.81082989,0.32857239,1.89238947,0.13667716,9.78399101,1.01650238,11.676380479999999,1.15317954,0.9799799,-0.01103888,-0.0438385,-0.04748762,0.02461326,1.007472,0.05388372,0.04811121,0.02166403,-0.2054955,-0.006553275,-0.5627539,0.3650562,0.1118601,-0.01367172,0.3677262
2017-06-11T14:02:00,81.830484,11.183477,0.34255104,0.02473116,0.32201893,0.02610041,11.22575065,0.38092371,25.57311418,0.66617131,2.56359506,0.27207446,5.13021288,1.08254684,7.69380794,1.3546213,0.9577701,0.02290592,-0.02063849,-0.01902377,0.01087107,0.9421046,0.02377137,0.01885522,0.1933304,0.3919275,0.4134681,-0.1321263,0.1861319,1.457633,0.2544038,-0.1001329
